"pid","title","label","collection","layout","order","permalink"
"allegory","Genre: Allegory","Allegory","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/allegory/"
"classical-history","Genre: Classical History","Classical History","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/classical-history/"
"classical-mythology","Genre: Classical Mythology","Classical Mythology","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/classical-mythology/"
"landscape","Genre: Landscape","Landscape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/landscape/"
"magic","Genre: Magic","Magic","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/magic/"
"proverb","Genre: Proverb","Proverb","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/proverb/"
"religious","Genre: Religious","Religious","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/religious/"
"seascape","Genre: Seascape","Seascape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/seascape/"
"study","Genre: Study","Study","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/study/"
"urban-common-and-peasant-life","Genre: Urban, Common and Peasant Life","Urban, Common and Peasant Life","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/urban-common-and-peasant-life/"
"village-town-and-cityscape","Genre: Village, Town and Cityscape","Village, Town and Cityscape","genres_pieterbruegel","genrepage_pieterbruegel",,"/pieterbruegel/genres/village-town-and-cityscape/"
