"pid","object_id","label","provenance_date","provenance_location","provenance_text","order","collection"
"4440","2873","A Summer Landscape with Harvesters","2002","England, London","Richard Green Gallery",,"provenance"
"4441","2873","A Summer Landscape with Harvesters","2003","United States, Toledo, OH","Purchased by the Toledo Museum of Art with funds from the Florence Scott Libbey Bequest",,"provenance"
"6925","2874","Abbey of Groenendael near Brussels",,"United States, New Haven, CT","Egmont Collection, Yale Library Transfer",,"provenance"
"4442","2875","Abraham sending Hagar and Ismael into the Forest","1972","Germany, Leipzig","Bequeathed by Senger-Maurer-Dinckler to Museum der Bildenden Künste",,"provenance"
"4443","2876","Adoration of the Magi (Antwerp)","Between 1815-1843","France, Paris","Acquired by A.J. Essingh",,"provenance"
"4444","2876","Adoration of the Magi (Antwerp)",,"Germany, Cologne","Collection of A.J. Essingh",,"provenance"
"4445","2876","Adoration of the Magi (Antwerp)","Sep 15 1865","Germany, Cologne","Sale, Lot #III. (according to Mireur: 2062 fr.)",,"provenance"
"4446","2876","Adoration of the Magi (Antwerp)",,"Belgium, Antwerp","Acquired by the Mayer family",,"provenance"
"4447","2877","Adoration of the Magi (Antwerp, Koninklijk Museum voor Schone Kunsten)","1913","Belgium, Brussels","Acquired by M.J. Langereld",,"provenance"
"4448","2878","Adoration of the Magi (Antwerp, Mayer-van den Bergh)","1897","England, London","Purchased from Farr, London",,"provenance"
"4449","2879","Adoration of the Magi (England)",,"England, London","Sale, Christie's",,"provenance"
"4450","2879","Adoration of the Magi (England)","Before 2003","England","Acquired by Baron Paul Hantrany",,"provenance"
"4451","2879","Adoration of the Magi (England)","May 12 2003","England, London","Sale, Christie's",,"provenance"
"4452","2879","Adoration of the Magi (England)","2004","England, London","Collection of Johnny van Haeften Ltd. (as 'Jan I')",,"provenance"
"4453","2880","Adoration of the Magi (London)","19th century-20th century","England","Alfred A. de Pass",,"provenance"
"4454","2880","Adoration of the Magi (London)","1920","England, London","Donated by A. A. de Pass to National Gallery",,"provenance"
"4455","2882","Adoration of the Magi (St. Petersburg)","Until 1915","Russia","Collection of Semenor-Tjanschanski",,"provenance"
"4456","2883","Adoration of the Magi (Vienna)","1806","Austria, Vienna","Purchased by Kunsthistorisches Museum",,"provenance"
"4457","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","2004","France, Paris","Private Collection",,"provenance"
"4458","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","2004","England, London","Collection of Johnny van Haeften Ltd.",,"provenance"
"4459","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","1996","Germany, Solingen","Gallery Müllenmeister",,"provenance"
"4460","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Oct 15 1996","Austria, Vienna","Sale, Dorotheum, Lot #113",,"provenance"
"4461","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Apr 7 2006","Austria, Vienna","Sale, Dorotheum, Lot #121",,"provenance"
"4462","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Sep 5 2006","Germany, Munich","Sale, Hampel",,"provenance"
"4463","2886","Aeneas Carrying Anchises from the Burning Troy (London)","ca. 1975",,"Acquired by the father of the current owner",,"provenance"
"4464","2887","Aeneas Carrying Anchises from the Burning Troy (Munich)",,"Germany, Munich","Kurfürstlichen Gallery",,"provenance"
"4465","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","1947",,"Acquired from Ellis & Smith at the Antique Dealers Fair",,"provenance"
"4466","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","Nov 16 1998","England, London","Sale, Christie's, Lot #3 (as 'attributed to Jan I')",,"provenance"
"4467","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","1999","England, London","Gallery Bernheimer",,"provenance"
"4468","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","Until 2004","France","Private Collection",,"provenance"
"4469","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","2005","England, London","Collection of Johnny van Haeftn Ltd.",,"provenance"
"4470","2891","Aeneas and Sibyl in the Underworld (Budapest, 551)","1871","Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg",,"provenance"
"4471","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)",,"Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg",,"provenance"
"4472","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)","1812","Hungary, Budapest","Szepmuveszeti Museum, 1812 catalogue, X, #19 as Pieter the Younger",,"provenance"
"4473","2893","Aeneas and Sibyl in the Underworld (London)","Jul 12 2001","England, London","Sale, Christie's",,"provenance"
"4474","2893","Aeneas and Sibyl in the Underworld (London)","2002","England, London","Richard Green Gallery",,"provenance"
"4475","2893","Aeneas and Sibyl in the Underworld (London)","Jul 4 2007","England, London","Sale, Sotheby's, Lot #20 (for 1,924,000 pounds)",,"provenance"
"4476","2894","Aeneas and Sibyl in the Underworld (Rome)","16th-17th century","Italy, Rome","Probably collection of Cardinal Ascanio Colonna",,"provenance"
"4477","2895","Aeneas and Sibyl in the Underworld (Vienna)","1619","Austria, Vienna","Vienna Inventory H, inv. #7 (as ""Ein taffel von cupfer, Eneas mit den Sibilien in der Höllen, gar konstreich gemacht vom Brigel"")",,"provenance"
"4483","2897","Albert and Isabella before Mariemont Castle","Until 1799","Germany, Mannheim","From Galerie Mannheim",,"provenance"
"4484","2897","Albert and Isabella before Mariemont Castle","1799","Germany, Munich","Purchased by Alte Pinakothek",,"provenance"
