"Full Image Title","Date","Onsite Image URL","Object Page URL","Shortened Title with Date"
"Woodland Scene with Bears",1540,"../img/scale/brueghel/9713.jpg","/janbrueghel/woodland-scene-with-bears","Woodland Scene with Bears"
"View of a Village at the Edge of a River",1553,"../img/scale/brueghel/9796.jpg","/janbrueghel/view-of-a-village-at-the-edge-of-a-river","View of a Village at the Edge of a River"
"Four Windmills along a Road",1578,"../img/scale/brueghel/3235.jpg","/janbrueghel/four-windmills-along-a-road","Four Windmills along a Road"
"Ships at a Jetty",1578,"../img/scale/brueghel/3551.jpg","/janbrueghel/ships-at-a-jetty","Ships at a Jetty"
"Tazza with Flowers Tumbling over the Bowl",1583,"../img/scale/brueghel/3592.jpg","/janbrueghel/tazza-with-flowers-tumbling-over-the-bowl","Tazza with Flowers Tumbling over the Bowl"
"View of the Temple of Minerva Medica, Rome",1587,"../img/scale/brueghel/9717.jpg","/janbrueghel/view-of-the-temple-of-minerva-medica-rome","View of the Temple of Minerva Medica, Rome"
"View of Heidelberg (New York)",1588,"../img/scale/brueghel/3865.jpg","/janbrueghel/view-of-heidelberg-new-york","View of Heidelberg (New York)"
"Forest Landscape with the Appearance of the Lord to Abraham at Mamre",1589,"../img/scale/brueghel/3221.jpg","/janbrueghel/forest-landscape-with-the-appearance-of-the-lord-to-abraham-at-mamre","Forest Landscape with the Appearance of the Lord to Abraham at Mamre"
"Abraham sending Hagar and Ismael into the Forest",1590,"../img/scale/brueghel/2875.jpg","/janbrueghel/abraham-sending-hagar-and-ismael-into-the-forest","Abraham sending Hagar and Ismael into the Forest"
"Allegory of Summer",1590,"../img/scale/brueghel/2927.jpg","/janbrueghel/allegory-of-summer","Allegory of Summer"
"Mountain Landscape with Ruins",1590,"../img/scale/brueghel/3376.jpg","/janbrueghel/mountain-landscape-with-ruins","Mountain Landscape with Ruins"
"Nativity (Switzerland)",1590,"../img/scale/brueghel/3387.jpg","/janbrueghel/nativity-switzerland","Nativity (Switzerland)"
