"Full Image Title","Date","Onsite Image URL","Object Page URL","Shortened Title with Date"
"Rocky Coastal Inlet with Battle Ship",1592,"../img/scale/janbrueghel/1592_Rocky_Coastal_Inlet_with_Battleship.png","../janbrueghel/rocky-coastal-inlet-with-battle-ship","Coastal Inlet with Battle Ship (1592) "
"Forest Landscape with Hunters",1593,"../img/scale/janbrueghel/1593_Forest_Landscape_with_Hunters.png","../janbrueghel/forest-landscape-with-hunters","Forest Landscape with Hunters (1593)"
"Aeneas and Sibyl in the Underworld (Rome)",1594,"../img/scale/janbrueghel/1594_Aeneas_and_Sibyl_in_the_Underworld_Rome.png","../janbrueghel/aeneas-and-sibyl-in-the-underworld-rome","Aeneas and Sibyl in the Underworld (1594)"
"Paradise Landscape with God Telling Adam to Name the Animals (Rome Galleria Doria Pamphili)",1594,"../img/scale/janbrueghel/1594_Paradise_Landscape_with_God_Telling_Adam_to_Name_the_Animals.png","../janbrueghel/paradise-landscape-with-god-telling-adam-to-name-the-animals-rome-galleria-doria-pamphili","Paradise Landscape with Animals (1594)"
"Coastal Landscape with Temple of Vesta",1595,"../img/scale/janbrueghel/1595_Landscape_with_Temple_of_Vesta.png","../janbrueghel/coastal-landscape-with-temple-of-vesta","Landscape with Temple of Vesta (1595)"
"Roman Carnival: Allegory of Winter",1595,"../img/scale/janbrueghel/1595_Allegory_of_Winter_.png","../janbrueghel/roman-carnival-allegory-of-winter","Allegory of Winter (1595)"
"Rest on the Flight Into Egypt with Tivoli Temple (Germany)",1595,"../img/scale/janbrueghel/1595_Rest_on_the_Flight_into_Egypt_with_Tivoli_Temple_Germany.png","../janbrueghel/rest-on-the-flight-into-egypt-with-tivoli-temple-germany","Flight Into Egypt with Tivoli Temple (1595)"
"Allegory: The Dream of Raphael (Circes and Ulysses)",1595,"../img/scale/janbrueghel/1595_Allegory_The_Dream_of_Raphael.png","../janbrueghel/allegory-the-dream-of-raphael-circe-ulysses","The Dream of Raphael (1595)"
"Rest on the Flight Into Egypt (Vienna)",1595,"../img/scale/janbrueghel/1595_Rest_on_the_Flight_into_Egypt_Vienna.png","../janbrueghel/rest-on-the-flight-into-egypt-vienna","Rest on the Flight Into Egypt (1595)"
"View over a Broad Valley with Gypsies",1595,"../img/scale/janbrueghel/1595_View_over_a_Broad_Valley_with_Gypsies.png","../janbrueghel/view-over-a-broad-river-valley-with-gypsies","Broad Valley with Gypsies (1595)"
"The Crucifixion (Vienna)",1596,"../img/scale/janbrueghel/1596_The_Crucifixion_.png","../janbrueghel/the-crucifixion-vienna","The Crucifixion (1596)"
"Christ and Apostles in the Tempest on the Sea of Galilee (Madrid)",1596,"../img/scale/janbrueghel/1596_Christ_and_Apostles_in_the_Tempest_Madrid_.png","../janbrueghel/christ-and-the-apostles-in-the-tempest-on-the-sea-of-galilee-madrid","Christ and Apostles in the Tempest (1596)"
"Christ in Limbo (The Hague)",1597,"../img/scale/janbrueghel/1597_Christ_in_Limbo_The_Hague.png","../janbrueghel/christ-in-limbo-the-hague","Christ in Limbo (1597)"
"Hermit with Vegetable Garden and Distant Landscape",1597,"../img/scale/janbrueghel/1597_Hermit_with_Vegetable_Garden_.png","../janbrueghel/hermit-with-vegetable-garden-and-distant-landscape","Hermit with Vegetable Garden (1597)"
"The Triumph of Death",1597,"../img/scale/janbrueghel/1597_The_Triumph_of_Death.png","../janbrueghel/the-triumph-of-death","The Triumph of Death (1597)"
"Outdoor Wedding Dance (Bordeaux)",1597,"../img/scale/janbrueghel/1597_Outdoor_Wedding_Dance.png","../janbrueghel/outdoor-wedding-dance-bordeaux","Outdoor Wedding Dance (1597)"
"Adoration of the Magi (London)",1598,"../img/scale/janbrueghel/1598_Adoration_of_the_Magi_London.png","../janbrueghel/adoration-of-the-magi-london","Adoration of the Magi (1598)"
"Preaching of John the Baptist (Los Angeles)",1599,"../img/scale/janbrueghel/1599_Preaching_of_John_the_Baptist_Los_Angeles.png","../janbrueghel/preaching-of-john-the-baptist-los-angeles","Preaching of John the Baptist (1599)"
