"Full Image Title","Date","Onsite Image URL","Object Page URL","Shortened Title with Date"
"Fall of the Icarus",1555,"../img/scale/pieterbruegel/1555_The_Fall_of_Icarus.png","../pieterbruegel/the-fall-of-icarus","Fall of Icarus (1555)"
"Landscape with the Parable of the Sower",1557,"../img/scale/pieterbruegel/1557_Landscape_with_Parable_of_the_Sower.png","../pieterbruegel/landscape-with-the-parable-of-the-sower","Landscape of Sower (1557)"
"Twelve Proverbs",1558,"../img/scale/pieterbruegel/1558_Twelve_Proverbs.png","../pieterbruegel/twelve-proverbs","Twelve Proverbs (1558)"
"The Battle Between Carnival and Lent",1559,"../img/scale/pieterbruegel/1559_The_Battle_Between_Carnival_and_Lent_.png","../pieterbruegel/the-battle-between-carnival-and-lent","Battle Between Carnival and Lent (1559)"
"Proverbs",1559,"../img/scale/pieterbruegel/1559_The_Proverbs.png","../pieterbruegel/the-proverbs","Proverbs (1559)"
"Children's Games",1560,"../img/scale/pieterbruegel/1560_Children_s_Games_copy.png","../pieterbruegel/childrens-games","Children's Games (1560)"
"Fall of the Rebel Angels",1562,"../img/scale/pieterbruegel/1562_Fall_of_the_Rebel_Angels_.png","../pieterbruegel/fall-of-the-rebel-angels","Fall of the Rebel Angels (1562)"
"Two Monkeys",1562,"../img/scale/pieterbruegel/1562_Two_Monkeys.png","../pieterbruegel/two-monkeys","Two Monkeys (1562)"
"Triumph of Death",1562,"../img/scale/pieterbruegel/1562_Triumph_of_Death.png","../pieterbruegel/the-triumph-of-death-0","Triumph of Death (1562)"
"The Adoration of the Magi in the Snow",1563,"../img/scale/pieterbruegel/1563_Adoration_in_the_Snow.png","../pieterbruegel/the-adoration-of-the-magi-in-the-snow","Adoration in the Snow (1563)"
"The Building of the Tower of Babel",1563,"../img/scale/pieterbruegel/1563_The_Building_of_the_Tower_of_Babel.png","../pieterbruegel/the-building-of-the-tower-of-babel","Building the Tower of Babel (1563)"
"Christ Carrying the Cross",1564,"../img/scale/pieterbruegel/1564_Christ_Carrying_the_Cross.png","../pieterbruegel/christ-carrying-the-cross","Christ Carrying the Cross (1564)"
"Adoration of the Kings",1564,"../img/scale/pieterbruegel/1564_Adoration_of_the_Kings_.png","../pieterbruegel/the-adoration-of-the-kings","Adoration of the Kings (1564)"
"The Harvesters (August/September)",1565,"../img/scale/pieterbruegel/1565_The_Harvesters_.png","../pieterbruegel/the-harvesters-august-september","The Harvesters (1565)"
"Hunters in the Snow (December/January)",1565,"../img/scale/pieterbruegel/1565_Hunters_in_the_Snow.png","../pieterbruegel/hunters-in-the-snow-december-january","Hunters in the Snow (1565)"
"The Return of the Herd",1565,"../img/scale/pieterbruegel/1565_Return_of_the_Herd.png","../pieterbruegel/the-return-of-the-herd-october-november","Return of the Herd (1565)"
"The Wedding Dance",1566,"../img/scale/pieterbruegel/1566_The_Wedding_Dance.png","../pieterbruegel/the-wedding-dance","The Wedding Dance (1566)"
"The Land of Cockaigne (Munich)",1567,"../img/scale/pieterbruegel/1567_The_Land_of_Cockaigne_Munich.png","../pieterbruegel/the-land-of-cockaigne-munich","The Land of Cockaigne (1567)"
"The Conversion of Saul",1567,"../img/scale/pieterbruegel/1567_The_Conversion_of_Saul_.png","../pieterbruegel/the-conversion-of-saul-0","Conversion of Saul (1567)"
"The Village Kermis",1567,"../img/scale/pieterbruegel/1567_The_Village_Kermis.png","../pieterbruegel/the-village-kermis","Village Kermis (1567)"
"Tower of Babel (Rotterdam)",1567,"../img/scale/pieterbruegel/1567_Tower_of_Babel.png","../pieterbruegel/the-tower-of-babel","Tower of Babel (1568)"
"The Magpie on the Gallows",1568,"../img/scale/pieterbruegel/1568_The_Magpie_on_the_Gallows.png","../pieterbruegel/the-magpie-on-the-gallows","Magpie on the Gallows (1568)"
"The Beggars",1568,"../img/scale/pieterbruegel/1568_The_Beggars.png","../pieterbruegel/the-beggars","The Beggars (1568)"
"Parable of the Blind",1568,"../img/scale/pieterbruegel/1568_Parable_of_the_Blind.png","../pieterbruegel/the-parable-of-the-blind","Parable of the Blind (1568)"
